X,0.04528395061728399 -0.09659259259259279 -0.8475925925925916 0.46028395061728355,-0.07298765432098767 1.1452592592592596 -4.927962962962969 4.599790123456799,-0.07807407407407457 1.2215555555555637 -5.298000000000038 5.1783703703704225,-0.19925925925925875 3.5846666666666547 -20.385555555555467 36.686518518518284,0.592049382716047 -15.406740740740666 129.7652592592585 -354.2199506172814,-0.291358024691337 9.770370370369706 -107.42962962962268 384.3086419752849,-0.20740740740740787 7.000000000000011 -77.14444444444447 274.64814814814815,0.44938271604944074 -17.629629629631975 229.2481481481795 -989.672839506311
0.5,0.01800000000000007,2.413000000000006,2.825000000000035,27.364999999999807,-293.11499999999785,332.99999999997954,237.79999999999998,-879.4000000001231
0.501,0.017089749156395162,2.4091635912603517,2.820866104366405,27.34805295224499,-293.0002119625169,332.9021315552438,237.72970668868146,-879.1880613996736
0.502,0.016179441251160553,2.405329253638327,2.8167344171532203,27.33111247485018,-292.885452958817,332.8042817754265,237.6594267538963,-878.976156707639
0.503,0.015269076556000072,2.401496986696006,2.8126049378920346,27.314178566619805,-292.77072298534586,332.7064506587796,237.5891601944,-878.764285921323
0.504,0.014358655342617377,2.397666789995463,2.8084776661144053,27.297251226358327,-292.6560220385511,332.6086382035549,237.51890700894813,-878.5524490380291
0.505,0.013448177882716128,2.3938386630987716,2.8043526013518867,27.280330452870174,-292.5413501148806,332.5108444080043,237.4486671962963,-878.3406460550611
0.506,0.01253764444800004,2.390012605568006,2.800229743136035,27.263416244959807,-292.42670721078184,332.4130692703796,237.3784407552,-878.1288769697229
0.507,0.011627055310172885,2.3861886169652404,2.796109090998405,27.246508601431657,-292.3120933227027,332.3153127889327,237.30822768441482,-877.917141779318
0.508,0.01071641074093832,2.382366696852549,2.7919906444705536,27.22960752109018,-292.1975084470908,332.21757496191543,237.23802798269628,-877.7054404811499
0.509,0.009805711012000062,2.378546844792006,2.7878744030840346,27.212713002739807,-292.08295258039385,332.11985578757964,237.1678416488,-877.4937730725228
0.51,0.00889495639506177,2.374729060345685,2.783760366370405,27.195825045184993,-291.96842571905955,332.0221552641772,237.09766868148148,-877.28213955074
0.511,0.007984147161827215,2.37091334307566,2.7796485338612196,27.178943647230177,-291.8539278595357,331.92447338995987,237.02750907949627,-877.0705399131054
0.512,0.007073283584000056,2.3670996925440058,2.775538905088035,27.16206880767981,-291.73945899826987,331.82681016317963,236.9573628416,-876.8589741569227
0.513,0.006162365933284009,2.363288108312796,2.7714314795824047,27.145200525338325,-291.6250191317098,331.7291655820883,236.88722996654815,-876.6474422794955
0.514,0.005251394481382787,2.3594785899441044,2.767326256875886,27.12833879901018,-291.5106082563032,331.6315396449377,236.8171104530963,-876.4359442781276
0.515,0.0043403695000001075,2.355671137000006,2.7632232365000347,27.11148362749981,-291.3962263684979,331.53393234997964,236.7470043,-876.2244801501226
0.516,0.0034292912608396287,2.351865749042574,2.7591224179864047,27.09463500961166,-291.28187346474135,331.43634369546606,236.6769115060148,-876.0130498927844
0.517,0.0025181600356050104,2.3480624256338825,2.755023800866553,27.07779294415018,-291.16754954148143,331.3387736796488,236.60683206989629,-875.8016535034164
0.518,0.001606976096000079,2.344261166336006,2.750927384672034,27.060957429919807,-291.05325459516587,331.24122230077967,236.5367659904,-875.5902909793225
0.519,6.957397137284937E-4,2.340461970711018,2.7468331689344048,27.044128465724995,-290.9389886222423,331.1436895571106,236.4667132662815,-875.3789623178064
0.52,-2.155488395060856E-4,2.3366648383209934,2.7427411531852193,27.02730605037018,-290.82475161915835,331.04617544689324,236.39667389629628,-875.1676675161718
0.521,-0.0011268892919998885,2.332869768728006,2.7386513369560346,27.010490182659808,-290.7105435823619,330.9486799683797,236.32664787919998,-874.9564065717225
0.522,-0.002038281372049311,2.3290767614941292,2.7345637197784045,26.993680861398325,-290.5963645083005,330.85120311982166,236.25663521374813,-874.745179481762
0.523,-0.0029497248079505267,2.325285816181438,2.7304783011838865,26.97687808539018,-290.4822143934219,330.7537448994711,236.1866358986963,-874.533986243594
0.524,-0.003861219327999932,2.321496932352006,2.7263950807040342,26.96008185343981,-290.36809323417384,330.65630530557974,236.1166499328,-874.3228268545224
0.525,-0.004772764660493756,2.3177101095679067,2.7223140578704044,26.94329216435166,-290.25400102700405,330.5588843363995,236.04667731481481,-874.1117013118508
0.526,-0.005684360533728339,2.313925347391216,2.7182352322145524,26.926509016930176,-290.13993776836014,330.4614819901822,235.97671804349628,-873.9006096128828
0.527,-0.00659600667599991,2.3101426453840057,2.714158603268034,26.90973240997981,-290.02590345468985,330.36409826517973,235.90677211759998,-873.6895517549223
0.528,-0.007507702815604866,2.3063620031083514,2.7100841705624044,26.892962342304994,-289.9118980824409,330.26673315964393,235.83683953588147,-873.4785277352729
0.529,-0.008419448680839436,2.302583420126327,2.706011933629219,26.87619881271018,-289.797921648061,330.16938667182666,235.76692029709628,-873.2675375512383
