X,-0.8513333333333333 0.44366666666666665,-0.32600000000000007 -0.6069999999999998,0.8106666666666668 -4.585333333333335,0.9620000000000002 -5.342000000000001,0.05933333333333335 0.5253333333333332,-3.533333333333332 29.266666666666655,0.8666666666666667 -12.533333333333335,1.3333333333333333 -17.666666666666664,-0.9999999999999993 11.499999999999993,2.7333333333333325 -40.76666666666665
0.524,-0.0024319999999999897,-0.7778239999999998,-4.160544000000002,-4.837912000000001,0.5564239999999999,27.415199999999988,-12.079200000000002,-16.967999999999996,10.975999999999994,-39.33439999999999
0.525,-0.0032833333333333603,-0.7781499999999998,-4.159733333333334,-4.836950000000002,0.5564833333333332,27.411666666666655,-12.078333333333335,-16.966666666666665,10.974999999999993,-39.33166666666665
0.526,-0.004134666666666675,-0.7784759999999998,-4.158922666666668,-4.835988000000001,0.5565426666666665,27.40813333333332,-12.077466666666668,-16.96533333333333,10.973999999999993,-39.32893333333332
0.527,-0.0049859999999999904,-0.7788019999999998,-4.158112000000001,-4.835026000000001,0.5566019999999999,27.404599999999988,-12.076600000000001,-16.964,10.972999999999994,-39.326199999999986
0.528,-0.005837333333333361,-0.7791279999999998,-4.157301333333335,-4.8340640000000015,0.5566613333333332,27.401066666666654,-12.075733333333336,-16.962666666666664,10.971999999999992,-39.323466666666654
0.529,-0.006688666666666676,-0.7794539999999999,-4.156490666666667,-4.833102000000001,0.5567206666666665,27.39753333333332,-12.074866666666669,-16.961333333333332,10.970999999999993,-39.320733333333315
0.53,-0.007539999999999991,-0.7797799999999998,-4.155680000000001,-4.832140000000002,0.5567799999999998,27.393999999999988,-12.074000000000002,-16.959999999999997,10.969999999999994,-39.317999999999984
0.531,-0.008391333333333362,-0.7801059999999997,-4.154869333333335,-4.831178000000001,0.5568393333333332,27.390466666666654,-12.073133333333335,-16.958666666666666,10.968999999999994,-39.31526666666665
0.532,-0.009242666666666677,-0.7804319999999998,-4.154058666666668,-4.830216000000001,0.5568986666666665,27.38693333333332,-12.072266666666668,-16.95733333333333,10.967999999999993,-39.31253333333332
0.533,-0.010093999999999992,-0.7807579999999998,-4.153248000000001,-4.8292540000000015,0.5569579999999998,27.383399999999988,-12.071400000000002,-16.955999999999996,10.966999999999993,-39.30979999999999
0.534,-0.010945333333333362,-0.7810839999999998,-4.152437333333334,-4.828292000000001,0.5570173333333333,27.379866666666654,-12.070533333333335,-16.954666666666665,10.965999999999994,-39.30706666666665
0.535,-0.011796666666666678,-0.7814099999999998,-4.151626666666668,-4.827330000000002,0.5570766666666666,27.37633333333332,-12.069666666666668,-16.95333333333333,10.964999999999993,-39.30433333333332
0.536,-0.012647999999999993,-0.7817359999999998,-4.150816000000001,-4.826368000000001,0.5571359999999999,27.37279999999999,-12.068800000000001,-16.951999999999998,10.963999999999993,-39.301599999999986
0.537,-0.013499333333333363,-0.7820619999999998,-4.150005333333334,-4.825406000000001,0.5571953333333333,27.369266666666654,-12.067933333333334,-16.950666666666663,10.962999999999994,-39.298866666666655
0.538,-0.014350666666666678,-0.7823879999999999,-4.149194666666668,-4.8244440000000015,0.5572546666666666,27.365733333333324,-12.067066666666669,-16.949333333333332,10.961999999999993,-39.296133333333316
0.539,-0.015201999999999993,-0.7827139999999998,-4.148384000000001,-4.823482000000001,0.5573139999999999,27.362199999999987,-12.066200000000002,-16.947999999999997,10.960999999999993,-39.293399999999984
0.54,-0.016053333333333364,-0.7830399999999998,-4.147573333333335,-4.822520000000001,0.5573733333333333,27.358666666666657,-12.065333333333335,-16.946666666666665,10.959999999999994,-39.29066666666665
0.541,-0.01690466666666668,-0.7833659999999998,-4.1467626666666675,-4.821558000000001,0.5574326666666666,27.355133333333324,-12.064466666666668,-16.94533333333333,10.958999999999993,-39.28793333333332
0.542,-0.017755999999999994,-0.7836919999999998,-4.145952000000001,-4.820596000000001,0.5574919999999999,27.35159999999999,-12.063600000000001,-16.944,10.957999999999993,-39.28519999999998
0.543,-0.018607333333333365,-0.7840179999999998,-4.145141333333335,-4.8196340000000015,0.5575513333333332,27.348066666666657,-12.062733333333336,-16.942666666666664,10.956999999999994,-39.28246666666665
0.544,-0.01945866666666668,-0.7843439999999998,-4.144330666666668,-4.818672000000001,0.5576106666666666,27.344533333333324,-12.061866666666669,-16.941333333333333,10.955999999999992,-39.27973333333332
0.545,-0.020309999999999995,-0.7846699999999998,-4.143520000000001,-4.817710000000002,0.5576699999999999,27.34099999999999,-12.061000000000002,-16.939999999999998,10.954999999999993,-39.27699999999999
0.546,-0.021161333333333365,-0.7849959999999998,-4.142709333333334,-4.816748000000001,0.5577293333333332,27.337466666666657,-12.060133333333335,-16.938666666666663,10.953999999999994,-39.274266666666655
0.547,-0.02201266666666668,-0.7853219999999999,-4.141898666666668,-4.815786000000001,0.5577886666666666,27.333933333333324,-12.059266666666668,-16.93733333333333,10.952999999999992,-39.271533333333316
0.548,-0.022863999999999995,-0.7856479999999998,-4.141088000000001,-4.8148240000000015,0.5578479999999999,27.33039999999999,-12.058400000000002,-16.935999999999996,10.951999999999993,-39.268799999999985
0.549,-0.023715333333333366,-0.7859739999999998,-4.1402773333333345,-4.813862000000001,0.5579073333333332,27.326866666666657,-12.057533333333335,-16.934666666666665,10.950999999999993,-39.26606666666665
0.55,-0.02456666666666668,-0.7862999999999998,-4.139466666666668,-4.812900000000001,0.5579666666666665,27.323333333333323,-12.056666666666668,-16.93333333333333,10.949999999999994,-39.26333333333332
0.551,-0.025417999999999996,-0.7866259999999998,-4.138656000000001,-4.811938000000001,0.5580259999999999,27.31979999999999,-12.055800000000001,-16.932,10.948999999999993,-39.26059999999998
0.552,-0.026269333333333367,-0.7869519999999999,-4.137845333333335,-4.810976000000001,0.5580853333333332,27.316266666666657,-12.054933333333334,-16.930666666666664,10.947999999999993,-39.25786666666665
0.553,-0.027120666666666682,-0.7872779999999998,-4.1370346666666675,-4.810014000000002,0.5581446666666665,27.312733333333323,-12.054066666666667,-16.929333333333332,10.946999999999994,-39.25513333333332
0.554,-0.027971999999999997,-0.7876039999999997,-4.136224000000001,-4.809052000000001,0.5582039999999999,27.30919999999999,-12.053200000000002,-16.927999999999997,10.945999999999993,-39.25239999999999
0.555,-0.028823333333333367,-0.7879299999999998,-4.135413333333334,-4.808090000000002,0.5582633333333332,27.305666666666657,-12.052333333333335,-16.926666666666666,10.944999999999993,-39.24966666666665
