X,0.175111111111111 -1.2891111111111107 0.6187777777777778,0.378888888888889 -2.4098888888888896 2.045222222222224,0.05044444444444454 0.3818888888888874 -3.7025555555555525,-0.30088888888888954 4.422222222222231 -15.120888888888915,-1.1975555555555488 17.423888888888783 -61.74755555555513,1.466666666666677 -29.200000000000184 140.7333333333342,0.15555555555555697 -2.3222222222222593 3.722222222222385,-0.7777777777777705 19.61111111111093 -124.61111111111002,1.2444444444444582 -33.97777777777815 229.27777777778027
2.831,-1.6272570959999997,-1.7405451099999993,-2.2171380340000004,-5.013070132000006,-22.018408161999822,69.82282280000042,-1.6052793999999313,-75.32560299999936,143.06036480000154
2.832,-1.6275545528888884,-1.74080935111111,-2.216470478222223,-5.010351843555561,-22.00776603022205,69.80192853333376,-1.6067207111110413,-75.31039644444381,143.03343431111267
2.833,-1.6278516595555548,-1.7410728344444437,-2.2158028215555556,-5.007634156888894,-21.997126293555375,69.78103720000043,-1.608161711111042,-75.2951914444438,143.00650631111267
2.834,-1.6281484159999997,-1.7413355599999996,-2.2151350640000005,-5.004917072000005,-21.986488951999817,69.76014880000044,-1.6096023999999316,-75.27998799999936,142.97958080000154
2.835,-1.6284448222222219,-1.7415975277777775,-2.214467205555556,-5.002200588888895,-21.975854005555377,69.73926333333377,-1.6110427777777083,-75.26478611111048,142.95265777777934
2.836,-1.6287408782222217,-1.7418587377777777,-2.213799246222223,-4.9994847075555615,-21.965221454222046,69.71838080000043,-1.6124828444443757,-75.24958577777714,142.925737244446
2.837,-1.6290365839999996,-1.74211919,-2.2131311860000005,-4.996769428000006,-21.95459129799982,69.69750120000043,-1.6139225999999312,-75.23438699999936,142.89881920000153
2.838,-1.6293319395555552,-1.7423788844444434,-2.2124630248888892,-4.994054750222228,-21.94396353688871,69.67662453333375,-1.6153620444443755,-75.21918977777715,142.87190364444598
2.839,-1.6296269448888885,-1.7426378211111104,-2.211794762888889,-4.9913406742222275,-21.93333817088871,69.65575080000043,-1.6168011777777087,-75.20399411111048,142.84499057777933
2.84,-1.6299215999999994,-1.7428959999999991,-2.2111264000000004,-4.988627200000007,-21.92271519999983,69.63488000000042,-1.6182399999999308,-75.18879999999936,142.81808000000154
2.841,-1.6302159048888885,-1.7431534211111108,-2.2104579362222223,-4.985914327555561,-21.912094624222043,69.61401213333376,-1.6196785111110419,-75.1736074444438,142.79117191111266
2.842,-1.6305098595555547,-1.7434100844444442,-2.209789371555556,-4.983202056888894,-21.901476443555374,69.59314720000043,-1.6211167111110427,-75.15841644444382,142.76426631111264
2.843,-1.6308034639999995,-1.7436659899999998,-2.209120706,-4.980490388000005,-21.890860657999824,69.57228520000044,-1.6225545999999316,-75.14322699999937,142.73736320000154
2.844,-1.6310967182222216,-1.7439211377777766,-2.208451939555556,-4.977779320888896,-21.880247267555383,69.55142613333376,-1.6239921777777084,-75.12803911111048,142.7104625777793
2.845,-1.6313896222222217,-1.7441755277777773,-2.2077830722222225,-4.975068855555559,-21.86963627222204,69.53057000000042,-1.625429444444376,-75.11285277777714,142.68356444444598
2.846,-1.631682176,-1.7444291599999993,-2.2071141040000004,-4.9723589920000055,-21.85902767199982,69.50971680000043,-1.6268663999999315,-75.09766799999937,142.65666880000154
2.847,-1.6319743795555555,-1.7446820344444438,-2.2064450348888895,-4.969649730222228,-21.848421466888716,69.48886653333375,-1.628303044444376,-75.08248477777715,142.629775644446
2.848,-1.6322662328888882,-1.744934151111111,-2.2057758648888894,-4.966941070222228,-21.83781765688871,69.46801920000043,-1.6297393777777094,-75.06730311111048,142.60288497777933
2.849,-1.6325577359999999,-1.7451855099999998,-2.205106594,-4.964233012000006,-21.82721624199982,69.44717480000041,-1.6311753999999326,-75.05212299999937,142.57599680000152
2.85,-1.6328488888888888,-1.7454361111111103,-2.2044372222222224,-4.961525555555561,-21.816617222222042,69.42633333333376,-1.6326111111110428,-75.0369444444438,142.54911111111267
2.851,-1.633139691555555,-1.7456859544444434,-2.203767749555556,-4.958818700888896,-21.80602059755538,69.40549480000043,-1.634046511111043,-75.02176744444381,142.52222791111268
2.852,-1.6334301439999992,-1.7459350399999995,-2.2030981760000006,-4.956112448000004,-21.795426367999823,69.38465920000044,-1.635481599999932,-75.00659199999937,142.49534720000156
2.853,-1.6337202462222216,-1.746183367777777,-2.2024285015555556,-4.953406796888894,-21.784834533555376,69.36382653333375,-1.636916377777709,-74.99141811111048,142.4684689777793
2.854,-1.6340099982222216,-1.7464309377777774,-2.2017587262222227,-4.950701747555561,-21.774245094222046,69.34299680000044,-1.6383508444443766,-74.97624577777714,142.44159324444598
2.855,-1.6342993999999997,-1.7466777499999995,-2.2010888500000005,-4.947997300000006,-21.763658049999826,69.32217000000043,-1.6397849999999323,-74.96107499999937,142.41472000000155
