X,-5.66133211400731E-4 0.016951623228167456 -0.20596936442616737 1.2216478433166404 -3.270455509831012 2.762446410608357 -0.6859631153788236,0.002539734796524242 -0.09020082304524431 1.2732002743481132 -9.181068815727254 35.78078765431382 -70.7977079560918 53.01449474164679,-0.006388172534686843 0.298163145862473 -5.590128486521588 53.76625781140821 -279.5104917243342 744.8637177425569 -795.9848529202077,0.006523639689045948 -0.379706995883289 8.984079561007885 -110.33480566944804 740.0739884745915 -2566.0235220755426 3589.189373557931,-9.741197988591336E-4 0.08140521262321816 -2.684308642062188 45.098434614864175 -408.90798039382037 1900.5398856366835 -3540.8050114981856
0.5,0.01799999999999846,25.48999999999623,-487.050000000882,2477.9539999909384,-2687.2900000492973
0.501,0.01830870790482675,25.448729968424956,-486.54723200381994,2476.050261443702,-2685.7662063619528
0.502,0.01861396835334783,25.40750751297518,-486.04487750609877,2474.147697495544,-2684.2431028069536
0.503,0.01891578644363523,25.36633259256203,-485.5429362480012,2472.2463075869564,-2682.720689144804
0.504,0.019214167269789306,25.32520516612598,-485.0414079699265,2470.346091158625,-2681.1989651360686
0.505,0.019509115921938602,25.28412519263285,-484.54029241239095,2468.447047651429,-2679.6779305413693
0.506,0.019800637486242056,25.24309263107379,-484.0395893160272,2466.549176506441,-2678.15758512139
0.507,0.020088737044889782,25.202107440465273,-483.53929842158504,2464.6524771649265,-2676.6379286368724
0.508,0.020373419676107285,25.161169579849098,-483.0394194699304,2462.756949068344,-2675.118960848619
0.509,0.02065469045415458,25.120279008292346,-482.5399522020462,2460.862591658345,-2673.600681517491
0.51,0.020932554449329288,25.07943568488742,-482.04089635903176,2458.969404376775,-2672.0830904044096
0.511,0.02120701672796843,25.03863956875199,-481.542251682103,2457.077386665672,-2670.566187270356
0.512,0.021478082352450967,24.997890619028993,-481.0440179125923,2455.186537967266,-2669.0499718763695
0.513,0.02174575638119769,24.95718879488665,-480.54619479194866,2453.2968577239817,-2667.5344439835503
0.514,0.022010043868675,24.916534055518426,-480.04878206173737,2451.4083453784356,-2666.0196033530574
0.515,0.022270949865395573,24.87592636014302,-479.5517794636402,2449.5210003734373,-2664.50544974611
0.516,0.022528479417920577,24.835365668004396,-479.0551867394554,2447.6348221519893,-2662.991982923986
0.517,0.022782637568861674,24.794851938371707,-478.5590036310973,2445.7498101572874,-2661.479202648023
0.518,0.023033429356882573,24.75438513053935,-478.0632298805968,2443.865963832718,-2659.967108679619
0.519,0.023280859816700694,24.713965203826916,-477.567865230101,2441.9832826218635,-2658.455700780229
0.52,0.02352493397908928,24.673592117579176,-477.0729094218732,2440.1017659684967,-2656.944978711371
0.521,0.023765656870879726,24.63326583116612,-476.578362198293,2438.2214133165826,-2655.4349422346186
0.522,0.024003033514962246,24.592986303982872,-476.084223301856,2436.3422241102808,-2653.925591111609
0.523,0.024237068930288097,24.55275349544977,-475.59049247517424,2434.4641977939414,-2652.416925104035
0.524,0.024467768131872125,24.51256736501227,-475.0971694609756,2432.587333812108,-2650.9089439736504
0.525,0.02469513613079377,24.472427872140976,-474.60425400210414,2430.711631609517,-2649.4016474822693
0.526,0.024919177934199177,24.432334976331653,-474.1117458415201,2428.8370906310965,-2647.8950353917644
0.527,0.025139898545303185,24.392288637105167,-473.61964472229937,2426.963710321967,-2646.389107464067
0.528,0.02535730296339067,24.352288814007522,-473.12795038763426,2425.0914901274414,-2644.8838634611693
0.529,0.025571396183818762,24.312335466609802,-472.63666258083265,2423.2204294930243,-2643.3793031451214
0.53,0.025782183198018838,24.27242855450821,-472.14578104531876,2421.3505278644143,-2641.875426278034
0.531,0.025989668993497972,24.23256803732403,-471.6553055246321,2419.4817846874994,-2640.3722326220764
0.532,0.026193858553840266,24.192753874703612,-471.16523576242867,2417.6141994083628,-2638.8697219394776
0.533,0.026394756858709845,24.152986026318395,-470.6755715024797,2415.747771473277,-2637.3678939925258
0.534,0.02659236888385219,24.113264451864854,-470.1863124886727,2413.8825003287093,-2635.866748543568
0.535,0.026786699601095587,24.073589111064514,-469.6974584650105,2412.0183854213155,-2634.3662853550118
0.536,0.02697775397835278,24.03395996366396,-469.209009175612,2410.1554261979472,-2632.8665041893228
0.537,0.027165536979623872,23.99437696943477,-468.72096436471145,2408.293622105645,-2631.367404809027
0.538,0.027350053564997312,23.95484008817356,-468.23332377665906,2406.4329725916427,-2629.8689869767086
0.539,0.02753130869065179,23.915349279701964,-467.74608715592046,2404.573477103366,-2628.371250455012
0.54,0.02770930730885801,23.87590450386658,-467.2592542470768,2402.7151350884315,-2626.87419500664
0.541,0.027884054367980915,23.836505720539037,-466.77282479482506,2400.8579459946486,-2625.3778203943557
0.542,0.0280555548124809,23.79715288961591,-466.2867985439775,2399.0019092700177,-2623.8821263809805
0.543,0.028223813582916257,23.75784597101875,-465.80117523946177,2397.147024362731,-2622.387112729396
0.544,0.02838883561594452,23.718584924694078,-465.3159546263213,2395.2932907211716,-2620.8927792025415
0.545,0.02855062584432433,23.67936971061335,-464.83113644971456,2393.4407077939168,-2619.399125563418
0.546,0.02870918919691745,23.640200288772974,-464.3467204549158,2391.5892750297317,-2617.9061515750823
0.547,0.028864530598690652,23.60107661919428,-463.8627063873141,2389.7389918775757,-2616.4138570006535
0.548,0.02901665497071715,23.561998661923504,-463.3790939924145,2387.8898577865984,-2614.9222416033085
0.549,0.029165567230178824,23.52296637703182,-462.89588301583666,2386.0418722061413,-2613.4313051462836
0.55,0.02931127229036734,23.483979724615278,-462.413073203316,2384.1950345857367,-2611.9410473928747
0.551,0.029453775060686804,23.445038664794836,-461.9306643007029,2382.3493443751086,-2610.451468106435
0.552,0.02959308044665543,23.406143157716322,-461.4486560539629,2380.5048010241726,-2608.96256705038
0.553,0.029729193349906646,23.36729316355043,-460.9670482091768,2378.6614039830342,-2607.4743439881813
0.554,0.02986211866819166,23.328488642492722,-460.48584051254056,2376.819152701992,-2605.9867986833724
0.555,0.029991861295381006,23.289729554763607,-460.00503271036496,2374.978046631534,-2604.499930899543
0.556,0.030118426121466202,23.251015860608334,-459.52462454907607,2373.138085222341,-2603.013740400344
0.557,0.030241818032562207,23.212347520296998,-459.044615775215,2371.299267925283,-2601.528226949485
0.558,0.030362041910907744,23.17372449412449,-458.5650061354376,2369.461594191422,-2600.0433903107346
0.559,0.03047910263486886,23.135146742410534,-458.08579537651485,2367.625063472012,-2598.5592302479204
0.56,0.030593005078940028,23.096614225499643,-457.60698324533263,2365.7896752184947,-2597.0757465249285
0.561,0.030703754113745263,23.05812690376112,-457.1285694888916,2363.9554288825066,-2595.5929389057055
0.562,0.030811354606041008,23.01968473758907,-456.65055385430753,2362.122323915872,-2594.110807154256
0.563,0.030915811418717354,22.981287687402343,-456.1729360888107,2360.2903597706086,-2592.629351034643
0.564,0.03101712941080026,22.942935713644573,-455.6957159397461,2358.459535898922,-2591.1485703109906
