X,0.20554558294218855 0.6162554538087758 -3.0759774968201907 0.7697679949379028,-0.4119287326682566 3.522707057387141 -7.305771649796344 2.638635004003944,-2.5185297589997164 17.6832791563872 -38.14671402583667 24.290933163017485
2.619,0.6332284804690718,0.2676873966483231,0.43391998934744436
2.62,0.6376122912106654,0.27035739384250546,0.43657118091425673
2.621,0.6420005656397285,0.2730279609311199,0.43921814775156065
2.622,0.6463933049895376,0.2756990954426075,0.44186087474821534
2.623,0.6507905104933676,0.27837079490538086,0.44449934679299474
2.624,0.655192183384486,0.2810430568478739,0.4471335487747581
2.625,0.6595983248961697,0.28371587879852056,0.4497634655822935
2.626,0.6640089362616932,0.286389258285737,0.45238908210444606
2.627,0.6684240187143298,0.2890631928379608,0.4550103832300181
2.628,0.6728435734873541,0.2917376799836151,0.4576273538478688
2.629,0.677267601814034,0.2944127172511197,0.46023997884677215
2.63,0.6816961049276495,0.2970883021689157,0.46284824311554473
2.631,0.6861290840614702,0.2997644322654227,0.46545213154306
2.632,0.6905665404487709,0.30244110506907473,0.46805162901810604
2.633,0.6950084753228281,0.30511831810829504,0.4706467204295137
2.634,0.6994548899169077,0.3077960689115069,0.4732373906661138
2.635,0.7039057854642883,0.31047435500714426,0.4758236246166945
2.636,0.7083611631982463,0.31315317392363395,0.4784054071701149
2.637,0.7128210243520512,0.3158325231894028,0.48098272321517754
2.638,0.7172853701589743,0.3185124003328741,0.4835555576406847
2.639,0.7217542018522904,0.3211928028824853,0.4861238953355098
2.64,0.7262275206652797,0.3238737283666562,0.48868772118844106
2.641,0.7307053278312063,0.3265551743138171,0.4912470200882666
2.642,0.7351876245833486,0.3292371382523913,0.49380177692387406
2.643,0.7396744121549814,0.3319196177108128,0.4963519765840516
2.644,0.744165691779376,0.3346026102175048,0.49889760395763005
2.645,0.7486614646898018,0.3372861133009013,0.501438643933426
2.646,0.7531617321195407,0.33997012448941843,0.5039750814002133
2.647,0.7576664953018606,0.3426546413114937,0.5065069012469081
2.648,0.7621757554700379,0.34533966129555393,0.5090340883622702
2.649,0.766689513857344,0.34802518197001886,0.5115566276351302
2.65,0.77120777169705,0.35071120086332597,0.5140745039543333
2.651,0.7757305302224344,0.353397715503895,0.5165877022086676
2.652,0.7802577906667703,0.3560847234201634,0.5190962072869496
2.653,0.7847895542633287,0.3587722221405403,0.5216000040780386
2.654,0.7893258222453812,0.3614602091934809,0.5240990774707512
2.655,0.7938665958462094,0.3641486821073836,0.526593412353833
2.656,0.7984118762990777,0.36683763841070016,0.5290829936162424
2.657,0.8029616648372644,0.3695270756318396,0.5315678061466826
2.658,0.8075159626940425,0.37221699129923946,0.5340478348340127
2.659,0.8120747711026814,0.3749073829413301,0.5365230645670778
2.66,0.8166380912964615,0.37759824808652764,0.5389934802346801
2.661,0.8212059245086556,0.38028958426326964,0.5414590667256363
2.662,0.8257782719725297,0.3829813889999829,0.5439198089287913
2.663,0.8303551349213623,0.3856736598250943,0.5463756917329192
2.664,0.8349365145884315,0.388366394267027,0.5488267000268934
2.665,0.8395224122070017,0.39105958985420797,0.5512728186994877
2.666,0.8441128290103512,0.3937532441150746,0.5537140326395757
2.667,0.848707766231753,0.39644735457804314,0.5561503267359313
2.668,0.8533072251044838,0.3991419187715475,0.5585816858773995
2.669,0.8579112068618111,0.40183693422401445,0.5610080949528111
2.67,0.8625197127370117,0.40453239846387445,0.5634295388509685
2.671,0.8671327439633585,0.4072283090195472,0.5658460024607024
2.672,0.8717503017741264,0.4099246634194702,0.5682574706708152
2.673,0.8763723874025848,0.41262145919206317,0.5706639283701662
2.674,0.880999002082014,0.4153186938657565,0.5730653604475293
2.675,0.8856301470456798,0.41801636496897343,0.5754617517917637
2.676,0.8902658235268623,0.4207144700301515,0.5778530872917003
2.677,0.894906032758833,0.4234130065777104,0.5802393518361129
2.678,0.8995507759748611,0.42611197214008056,0.582620530313875
2.679,0.9042000544082234,0.4288113642456888,0.5849966076137463
2.68,0.9088538692921981,0.43151118042295833,0.5873675686246145
2.681,0.9135122218600495,0.4342114182003267,0.5897333982352393
