X,Lagrange,Newton,Spline2,Spline3,Spline4
0.259,-0.5,-0.5,-0.5,-0.5,-0.4999999999999999
0.26,-0.501500886648087,-0.5003748499803328,-0.5013041237113403,-0.5015832083871647,-0.5011750495196223
0.261,-0.5030002187517932,-0.5007520788032127,-0.5026082474226805,-0.5031654560697656,-0.502351169249621
0.262,-0.5044980041623498,-0.501131680099363,-0.5039123711340207,-0.5047467430478024,-0.503528355952618
0.263,-0.5059942507050104,-0.501513647506082,-0.5052164948453608,-0.5063270693212754,-0.504706606391236
0.264,-0.5074889661790768,-0.5018979746672402,-0.506520618556701,-0.5079064348901843,-0.505885917328097
0.265,-0.5089821583579274,-0.5022846552332789,-0.5078247422680413,-0.5094848397545293,-0.5070662855258233
0.266,-0.510473834989042,-0.502673682861206,-0.5091288659793815,-0.5110622839143104,-0.5082477077470375
0.267,-0.51196400379403,-0.503065051214594,-0.5104329896907217,-0.5126387673695275,-0.5094301807543616
0.268,-0.5134526724686558,-0.5034587539635769,-0.5117371134020618,-0.5142142901201807,-0.5106137013104181
0.269,-0.5149398486828669,-0.5038547847848471,-0.5130412371134021,-0.5157888521662699,-0.5117982661778291
0.27,-0.5164255400808191,-0.5042531373616532,-0.5143453608247424,-0.5173624535077953,-0.512983872119217
0.271,-0.5179097542809042,-0.5046538053837966,-0.5156494845360825,-0.5189350941447566,-0.5141705158972043
0.272,-0.5193924988757762,-0.5050567825476293,-0.5169536082474226,-0.5205067740771541,-0.515358194274413
0.273,-0.5208737814323781,-0.5054620625560504,-0.5182577319587629,-0.5220774933049876,-0.5165469040134656
0.274,-0.5223536094919687,-0.5058696391185038,-0.5195618556701032,-0.5236472518282572,-0.5177366418769843
0.275,-0.5238319905701494,-0.5062795059509754,-0.5208659793814434,-0.5252160496469628,-0.5189274046275916
0.276,-0.5253089321568899,-0.5066916567759897,-0.5221701030927836,-0.5267838867611044,-0.5201191890279095
0.277,-0.5267844417165563,-0.507106085322608,-0.5234742268041237,-0.5283507631706823,-0.5213119918405605
0.278,-0.5282585266879369,-0.5075227853264244,-0.524778350515464,-0.529916678875696,-0.522505809828167
0.279,-0.5297311944842691,-0.5079417505295641,-0.5260824742268042,-0.5314816338761459,-0.523700639753351
0.28,-0.531202452493266,-0.5083629746806797,-0.5273865979381444,-0.5330456281720317,-0.5248964783787352
0.281,-0.5326723080771432,-0.508786451534949,-0.5286907216494846,-0.5346086617633539,-0.5260933224669415
0.282,-0.5341407685726449,-0.5092121748540719,-0.5299948453608248,-0.5361707346501118,-0.5272911687805925
0.283,-0.5356078412910726,-0.5096401384062675,-0.531298969072165,-0.5377318468323058,-0.5284900140823103
0.284,-0.5370735335183081,-0.5100703359662719,-0.5326030927835051,-0.539291998309936,-0.5296898551347173
0.285,-0.538537852514844,-0.5105027613153345,-0.5339072164948453,-0.5408511890830023,-0.530890688700436
0.286,-0.5400008055158082,-0.5109374082412157,-0.5352113402061855,-0.5424094191515045,-0.5320925115420884
0.287,-0.5414623997309912,-0.511374270538184,-0.5365154639175258,-0.5439666885154428,-0.533295320422297
0.288,-0.5429226423448721,-0.5118133420070136,-0.537819587628866,-0.5455229971748172,-0.534499112103684
0.289,-0.5443815405166464,-0.5122546164549803,-0.5391237113402062,-0.5470783451296277,-0.5357038833488716
0.29,-0.5458391013802522,-0.5126980876958606,-0.5404278350515463,-0.5486327323798743,-0.5369096309204824
0.291,-0.547295332044397,-0.5131437495499274,-0.5417319587628866,-0.5501861589255568,-0.5381163515811386
0.292,-0.5487502395925825,-0.5135915958439474,-0.5430360824742269,-0.5517386247666755,-0.5393240420934623
0.293,-0.5502038310831352,-0.5140416204111791,-0.544340206185567,-0.5532901299032302,-0.5405326992200761
0.294,-0.55165611354923,-0.5144938170913692,-0.5456443298969071,-0.554840674335221,-0.5417423197236021
0.295,-0.5531070939989177,-0.5149481797307499,-0.5469484536082474,-0.5563902580626479,-0.5429529003666627
0.296,-0.5545567794151505,-0.5154047021820364,-0.5482525773195877,-0.5579388810855107,-0.5441644379118801
0.297,-0.5560051767558117,-0.5158633783044239,-0.5495567010309279,-0.5594865434038097,-0.5453769291218767
0.298,-0.5574522929537402,-0.5163242019635846,-0.550860824742268,-0.5610332450175447,-0.5465903707592749
0.299,-0.5588981349167566,-0.5167871670316654,-0.5521649484536082,-0.5625789859267157,-0.5478047595866968
0.3,-0.5603427095276914,-0.5172522673872844,-0.5534690721649485,-0.5641237661313228,-0.5490200923667649
0.301,-0.5617860236444108,-0.5177194969155291,-0.5547731958762887,-0.5656675856313661,-0.5502363658621013
0.302,-0.5632280840998437,-0.5181888495079525,-0.5560773195876288,-0.5672104444268453,-0.5514535768353285
0.303,-0.5646688977020092,-0.5186603190625705,-0.5573814432989691,-0.5687523425177606,-0.5526717220490687
0.304,-0.5661084712340411,-0.5191338994838599,-0.5586855670103092,-0.5702932799041119,-0.5538907982659442
0.305,-0.5675468114542161,-0.519609584682755,-0.5599896907216495,-0.5718332565858995,-0.5551108022485773
0.306,-0.5689839250959813,-0.5200873685766442,-0.5612938144329898,-0.573372272563123,-0.5563317307595904
0.307,-0.5704198188679791,-0.5205672450893688,-0.5625979381443299,-0.5749103278357824,-0.5575535805616058
0.308,-0.571854499454074,-0.521049208151218,-0.56390206185567,-0.576447422403878,-0.5587763484172457
0.309,-0.5732879735133812,-0.5215332516989286,-0.5652061855670103,-0.5779835562674097,-0.5600000310891324
0.31,-0.5747202476802911,-0.5220193696756796,-0.5665103092783506,-0.5795187294263775,-0.5612246253398884
0.311,-0.5761513285644969,-0.5225075560310919,-0.5678144329896908,-0.5810529418807813,-0.5624501279321357
0.312,-0.5775812227510213,-0.5229978047212234,-0.569118556701031,-0.582586193630621,-0.5636765356284968
0.313,-0.5790099368002438,-0.5234901097085671,-0.5704226804123711,-0.584118484675897,-0.5649038451915941
0.314,-0.5804374772479253,-0.5239844649620489,-0.5717268041237114,-0.585649815016609,-0.5661320533840497
0.315,-0.5818638506052373,-0.5244808644570232,-0.5730309278350516,-0.587180184652757,-0.567361156968486
0.316,-0.5832890633587865,-0.5249793021752719,-0.5743350515463919,-0.588709593584341,-0.5685911527075252
0.317,-0.5847131219706436,-0.5254797721050004,-0.575639175257732,-0.5902380418113613,-0.5698220373637899
0.318,-0.586136032878368,-0.5259822682408347,-0.5769432989690721,-0.5917655293338174,-0.5710538076999021
0.319,-0.587557802495035,-0.5264867845838197,-0.5782474226804124,-0.5932920561517098,-0.5722864604784843
0.32,-0.5889784372092635,-0.5269933151414151,-0.5795515463917527,-0.594817622265038,-0.5735199924621586
0.321,-0.5903979433852414,-0.5275018539274933,-0.5808556701030928,-0.5963422276738025,-0.5747544004135475
0.322,-0.5918163273627526,-0.5280123949623367,-0.582159793814433,-0.5978658723780029,-0.5759896810952733
0.323,-0.5932335954572048,-0.5285249322726344,-0.5834639175257732,-0.5993885563776394,-0.5772258312699581
0.324,-0.5946497539596538,-0.5290394598914802,-0.5847680412371135,-0.6009102796727119,-0.5784628477002244
0.325,-0.5960648091368338,-0.5295559718583682,-0.5860721649484537,-0.6024310422632206,-0.5797007271486945
0.326,-0.5974787672311788,-0.5300744622191919,-0.5873762886597939,-0.6039508441491653,-0.5809394663779905
0.327,-0.598891634460856,-0.5305949250262402,-0.588680412371134,-0.605469685330546,-0.582179062150735
0.328,-0.6003034170197854,-0.5311173543381948,-0.5899845360824743,-0.6069875658073628,-0.5834195112295502
