X,-1.3041237113402064 -0.16223195876288654,-0.6782246879334259 -0.6886130374479889,1.6388140161725069 -4.307827493261456,2.6141304347826093 -6.554956521739132,0.6180555555555545 -0.8541666666666643
0.293,-0.544340206185567,-0.8873328710124826,-3.8276549865229117,-5.789016304347827,-0.6730763888888869
0.294,-0.5456443298969071,-0.888011095700416,-3.826016172506739,-5.786402173913045,-0.6724583333333313
0.295,-0.5469484536082474,-0.8886893203883495,-3.8243773584905667,-5.783788043478262,-0.6718402777777758
0.296,-0.5482525773195877,-0.8893675450762829,-3.822738544474394,-5.78117391304348,-0.6712222222222202
0.297,-0.5495567010309279,-0.8900457697642163,-3.8210997304582217,-5.7785597826086965,-0.6706041666666647
0.298,-0.550860824742268,-0.8907239944521498,-3.819460916442049,-5.775945652173914,-0.6699861111111091
0.299,-0.5521649484536082,-0.8914022191400832,-3.8178221024258767,-5.773331521739132,-0.6693680555555535
0.3,-0.5534690721649485,-0.8920804438280167,-3.816183288409704,-5.770717391304349,-0.668749999999998
0.301,-0.5547731958762887,-0.8927586685159501,-3.8145444743935317,-5.768103260869566,-0.6681319444444425
0.302,-0.5560773195876288,-0.8934368932038834,-3.8129056603773592,-5.7654891304347835,-0.6675138888888869
0.303,-0.5573814432989691,-0.894115117891817,-3.8112668463611867,-5.762875000000001,-0.6668958333333312
0.304,-0.5586855670103092,-0.8947933425797503,-3.8096280323450142,-5.760260869565219,-0.6662777777777757
0.305,-0.5599896907216495,-0.8954715672676837,-3.8079892183288417,-5.757646739130436,-0.6656597222222203
0.306,-0.5612938144329898,-0.8961497919556172,-3.8063504043126692,-5.755032608695653,-0.6650416666666646
0.307,-0.5625979381443299,-0.8968280166435506,-3.8047115902964967,-5.7524184782608705,-0.664423611111109
0.308,-0.56390206185567,-0.897506241331484,-3.803072776280324,-5.749804347826088,-0.6638055555555535
0.309,-0.5652061855670103,-0.8981844660194175,-3.8014339622641513,-5.747190217391306,-0.6631874999999979
0.31,-0.5665103092783506,-0.8988626907073509,-3.799795148247979,-5.744576086956522,-0.6625694444444424
0.311,-0.5678144329896908,-0.8995409153952844,-3.7981563342318063,-5.74196195652174,-0.6619513888888868
0.312,-0.569118556701031,-0.9002191400832178,-3.796517520215634,-5.7393478260869575,-0.6613333333333313
0.313,-0.5704226804123711,-0.9008973647711511,-3.7948787061994613,-5.736733695652175,-0.6607152777777757
