X,0.175111111111111 -1.2891111111111107 0.6187777777777778,0.378888888888889 -2.4098888888888896 2.045222222222224,0.05044444444444454 0.3818888888888874 -3.7025555555555525,-0.30088888888888865 4.422222222222219 -15.120888888888887,-1.1975555555555506 17.423888888888808 -61.74755555555524,1.4666666666666734 -29.200000000000124 140.7333333333339,0.15555555555555708 -2.322222222222254 3.722222222222367,-0.7777777777777752 19.61111111111105 -124.61111111111074,1.2444444444444551 -33.97777777777807 229.27777777777973
0.514,0.0024383217777779187,0.9066402622222238,-3.49293744622222,-12.927360307555555,-53.10806605422194,126.1120208000005,2.5696971555556845,-114.73648577777745,212.14197724444625
0.515,0.0013294000000001471,0.9046202500000013,-3.4925036499999975,-12.9232477,-53.09187444999972,126.08433000000049,2.567535000000129,-114.71767499999966,212.1092800000018
0.516,2.208284444447095E-4,0.902600995555557,-3.4920697528888867,-12.919135694222222,-53.07568524088861,126.05664213333382,2.5653731555556845,-114.69886577777744,212.07658524444625
0.517,-8.873928888887272E-4,0.9005824988888904,-3.4916357548888866,-12.915024290222222,-53.05949842688861,126.02895720000049,2.563211622222351,-114.68005811111078,212.0438929777796
0.518,-0.00199526399999983,0.8985647600000013,-3.4912016559999977,-12.910913487999998,-53.043314007999726,126.00127520000049,2.561050400000129,-114.66125199999966,212.0112032000018
0.519,-0.00310278488888871,0.8965477788888903,-3.49076745622222,-12.906803287555555,-53.027131984221946,125.97359613333383,2.558889488889018,-114.64244744444412,211.9785159111129
0.52,-0.004209955555555367,0.8945315555555571,-3.490333155555553,-12.902693688888888,-53.010952355555276,125.94592000000048,2.5567288888890176,-114.62364444444411,211.9458311111129
0.521,-0.005316775999999801,0.8925160900000013,-3.4898987539999977,-12.898584692,-52.99477512199972,125.91824680000049,2.554568600000129,-114.60484299999966,211.9131488000018
0.522,-0.006423246222222012,0.8905013822222236,-3.489464251555553,-12.894476296888888,-52.97860028355528,125.89057653333383,2.5524086222223508,-114.58604311111077,211.88046897777957
0.523,-0.007529366222222111,0.8884874322222236,-3.48902964822222,-12.890368503555555,-52.96242784022195,125.86290920000049,2.550248955555684,-114.56724477777745,211.84779164444626
0.524,-0.008635135999999766,0.8864742400000016,-3.4885949439999977,-12.886261312,-52.94625779199972,125.8352448000005,2.5480896000001287,-114.54844799999967,211.81511680000182
0.525,-0.009740555555555308,0.8844618055555569,-3.4881601388888868,-12.882154722222221,-52.930090138888616,125.80758333333382,2.5459305555556844,-114.52965277777744,211.78244444444624
0.526,-0.010845624888888739,0.8824501288888904,-3.4877252328888866,-12.878048734222222,-52.913924880888615,125.77992480000049,2.5437718222223507,-114.51085911111078,211.7497745777796
0.527,-0.011950343999999835,0.8804392100000016,-3.4872902259999976,-12.873943348,-52.897762017999725,125.75226920000048,2.5416134000001285,-114.49206699999966,211.7171072000018
0.528,-0.013054712888888709,0.8784290488888902,-3.48685511822222,-12.869838563555556,-52.881601550221944,125.72461653333383,2.5394552888890174,-114.47327644444411,211.68444231111292
0.529,-0.01415873155555547,0.8764196455555571,-3.4864199095555533,-12.865734380888888,-52.86544347755528,125.6969668000005,2.5372974888890174,-114.45448744444411,211.6517799111129
0.53,-0.015262399999999787,0.8744110000000016,-3.485984599999998,-12.8616308,-52.84928779999972,125.6693200000005,2.5351400000001285,-114.43569999999967,211.6191200000018
0.531,-0.016365718222221992,0.8724031122222236,-3.4855491895555533,-12.857527820888889,-52.83313451755528,125.64167613333382,2.5329828222223503,-114.41691411111077,211.58646257777957
0.532,-0.017468686222222085,0.8703959822222236,-3.48511367822222,-12.853425443555555,-52.81698363022194,125.61403520000049,2.530825955555684,-114.39812977777744,211.55380764444624
0.533,-0.018571303999999844,0.8683896100000015,-3.4846780659999976,-12.849323668,-52.80083513799973,125.58639720000049,2.5286694000001284,-114.37934699999967,211.5211552000018
0.534,-0.01967357155555549,0.8663839955555568,-3.4842423528888866,-12.845222494222222,-52.78468904088861,125.55876213333383,2.526513155555684,-114.36056577777744,211.48850524444623
0.535,-0.020775488888888805,0.8643791388888902,-3.483806538888887,-12.841121922222221,-52.768545338888615,125.53113000000049,2.5243572222223505,-114.34178611111078,211.45585777777958
0.536,-0.021877055999999784,0.8623750400000014,-3.4833706239999978,-12.837021951999999,-52.752404031999724,125.5035008000005,2.522201600000128,-114.32300799999966,211.4232128000018
0.537,-0.022978272888888762,0.8603716988888901,-3.48293460822222,-12.832922583555556,-52.736265120221944,125.47587453333382,2.520046288889017,-114.30423144444411,211.39057031111292
0.538,-0.024079139555555407,0.8583691155555568,-3.4824984915555532,-12.828823816888889,-52.72012860355528,125.44825120000048,2.5178912888890173,-114.28545644444411,211.3579303111129
0.539,-0.025179655999999828,0.8563672900000014,-3.482062273999998,-12.824725652,-52.70399448199972,125.4206308000005,2.515736600000128,-114.26668299999966,211.3252928000018
0.54,-0.026279822222222138,0.8543662222222237,-3.481625955555553,-12.820628088888888,-52.68786275555528,125.39301333333383,2.5135822222223503,-114.24791111111078,211.29265777777957
0.541,-0.027379638222222114,0.8523659122222236,-3.48118953622222,-12.816531127555555,-52.67173342422195,125.36539880000049,2.5114281555556834,-114.22914077777745,211.26002524444624
0.542,-0.028479103999999866,0.8503663600000013,-3.4807530159999978,-12.812434768,-52.65560648799973,125.33778720000049,2.5092744000001277,-114.21037199999967,211.2273952000018
0.543,-0.029578219555555507,0.8483675655555569,-3.4803163948888867,-12.808339010222221,-52.639481946888615,125.31017853333383,2.507120955555684,-114.19160477777744,211.19476764444624
0.544,-0.030676984888888703,0.8463695288888902,-3.4798796728888868,-12.804243854222221,-52.623359800888615,125.2825728000005,2.5049678222223504,-114.17283911111078,211.16214257777958
0.545,-0.03177539999999979,0.8443722500000015,-3.4794428499999976,-12.8001493,-52.607240049999724,125.25497000000048,2.502815000000128,-114.15407499999966,211.1295200000018
0.546,-0.03287346488888876,0.8423757288888902,-3.4790059262222197,-12.796055347555555,-52.591122694221944,125.22737013333382,2.500662488889017,-114.13531244444411,211.0968999111129
0.547,-0.0339711795555554,0.8403799655555568,-3.4785689015555534,-12.791961996888888,-52.57500773355528,125.1997732000005,2.4985102888890167,-114.11655144444411,211.0642823111129
0.548,-0.03506854399999981,0.8383849600000013,-3.478131775999998,-12.787869248,-52.55889516799972,125.17217920000049,2.496358400000128,-114.09779199999967,211.0316672000018
0.549,-0.036165558222222116,0.8363907122222236,-3.477694549555553,-12.783777100888889,-52.54278499755528,125.14458813333383,2.49420682222235,-114.07903411111077,210.99905457777956
0.55,-0.037262222222222086,0.8343972222222236,-3.47725722222222,-12.779685555555556,-52.52667722222195,125.11700000000049,2.4920555555556834,-114.06027777777744,210.96644444444624
0.551,-0.03835853599999983,0.8324044900000014,-3.4768197939999976,-12.775594611999999,-52.51057184199972,125.08941480000048,2.489904600000128,-114.04152299999967,210.93383680000179
0.552,-0.03945449955555547,0.8304125155555568,-3.4763822648888865,-12.771504270222222,-52.494468856888616,125.06183253333383,2.487753955555683,-114.02276977777744,210.90123164444623
0.553,-0.04055011288888877,0.8284212988888902,-3.4759446348888865,-12.767414530222222,-52.478368266888616,125.03425320000049,2.48560362222235,-114.00401811111078,210.86862897777957
0.554,-0.041645375999999845,0.8264308400000013,-3.4755069039999977,-12.763325391999999,-52.462270071999725,125.00667680000049,2.4834536000001277,-113.98526799999966,210.8360288000018
0.555,-0.04274028888888881,0.8244411388888904,-3.4750690722222197,-12.759236855555555,-52.446174272221946,124.97910333333382,2.481303888889016,-113.96651944444412,210.8034311111129
0.556,-0.04383485155555544,0.822452195555557,-3.4746311395555534,-12.755148920888889,-52.43008086755528,124.95153280000049,2.4791544888890167,-113.94777244444411,210.7708359111129
0.557,-0.04492906399999985,0.8204640100000014,-3.4741931059999978,-12.751061587999999,-52.413989857999724,124.92396520000048,2.4770054000001274,-113.92902699999966,210.7382432000018
0.558,-0.04602292622222215,0.8184765822222235,-3.4737549715555534,-12.746974856888889,-52.39790124355528,124.89640053333382,2.47485662222235,-113.91028311111077,210.70565297777958
0.559,-0.04711643822222211,0.8164899122222236,-3.4733167362222197,-12.742888727555556,-52.38181502422195,124.86883880000049,2.472708155555683,-113.89154077777744,210.67306524444624
